kV,Output,+-
45,15.1147847776,2.578934237
55,24.9818203224,3.7965461282
55,22.7620227277,3.4914673377
60,29.4790035034,4.2767072173
65,32.0193906613,4.4789449704
70,39.5346157234,5.285632377
75,42.9039867652,5.5439175629
80,50.9920552224,6.3706242798
85,55.4311616577,6.6979830809
90,63.8378176296,7.5505528371
95,69.6148947453,7.960358913
100,78.0604055581,8.8486258683
105,85.4680560145,9.3562898562
110,93.6498558655,10.290504163
115,103.0025963362,10.9152645087
120,110.5974125331,11.902604292
125,122.2296906333,12.6691641128
130,128.8952915071,13.7107162909
135,139.4552846866,17.0698719542
140,147.6588220031,16.2817532999
